iter	Logloss
0	0.6759853241
1	0.6596247631
2	0.6448880087
3	0.6291362169
4	0.6165445682
5	0.6044155002
6	0.5928499591
7	0.5828287235
8	0.5741565396
9	0.5646758497
10	0.5561070021
11	0.5492937008
12	0.5415813269
13	0.5344338507
14	0.5286636023
15	0.5231114012
16	0.5167778171
17	0.5114378994
18	0.5069788619
19	0.5019642244
20	0.4976063347
21	0.4920010488
22	0.487201941
23	0.4831156446
24	0.479363951
25	0.4750752292
26	0.4710032407
27	0.4680797547
28	0.4648180121
29	0.4616087248
30	0.4588090739
31	0.4557389938
32	0.453711994
33	0.4514485957
34	0.4488170051
35	0.446975154
36	0.4449282416
37	0.4429724084
38	0.4405618888
39	0.4387533391
40	0.4367503202
41	0.4347153188
42	0.4330662648
43	0.4314436642
44	0.4302939956
45	0.428637525
46	0.4272363053
47	0.4256880914
48	0.4246750265
49	0.4233100331
50	0.4222192592
51	0.4208428429
52	0.4196134069
53	0.4188858531
54	0.4183533369
55	0.4172916152
56	0.4163966195
57	0.4152561735
58	0.414132777
59	0.4128680332
60	0.4119368577
61	0.4109386901
62	0.4099157899
63	0.4089607282
64	0.4083491751
65	0.4076203476
66	0.4069394675
67	0.4065591458
68	0.4058928141
69	0.4051064523
70	0.4040766449
71	0.4032224393
72	0.4019175385
73	0.4013225216
74	0.4005772156
75	0.3998442719
76	0.3992849767
77	0.3988291168
78	0.3980652392
79	0.3975580145
80	0.3968886663
81	0.3962808353
82	0.3954973288
83	0.3951850833
84	0.394724191
85	0.3935710434
86	0.3928501653
87	0.3925648876
88	0.3923060755
89	0.3917972363
90	0.3912070375
91	0.3906367885
92	0.3905145201
93	0.390101366
94	0.3894040912
95	0.3887124273
96	0.3884157075
97	0.3880571726
98	0.3871945982
99	0.3869100742
