iter	Passed	Remaining
0	4	469
1	8	409
2	12	391
3	16	402
4	22	421
5	26	416
6	28	382
7	31	357
8	32	331
9	34	312
10	37	300
11	39	290
12	41	277
13	43	269
14	45	258
15	47	250
16	49	241
17	51	236
18	53	229
19	55	222
20	57	216
21	59	210
22	60	204
23	62	196
24	63	190
25	65	186
26	67	182
27	70	180
28	71	176
29	73	171
30	75	168
31	77	164
32	79	160
33	80	157
34	82	153
35	84	150
36	86	147
37	89	145
38	91	142
39	92	139
40	94	136
41	96	133
42	98	130
43	100	127
44	102	125
45	104	122
46	106	120
47	108	117
48	110	114
49	113	113
50	115	110
51	118	109
52	120	106
53	121	103
54	122	100
55	123	97
56	125	94
57	127	92
58	129	90
59	131	87
60	133	85
61	135	82
62	137	80
63	139	78
64	140	75
65	142	73
66	143	70
67	145	68
68	147	66
69	148	63
70	151	61
71	152	59
72	156	57
73	158	55
74	160	53
75	162	51
76	163	48
77	165	46
78	168	44
79	169	42
80	171	40
81	173	38
82	175	35
83	177	33
84	178	31
85	180	29
86	182	27
87	184	25
88	187	23
89	189	21
90	191	18
91	192	16
92	193	14
93	195	12
94	197	10
95	199	8
96	201	6
97	203	4
98	206	2
99	208	0
